name,alt_name,ra,dec,vmag,class
HR 2223,72    Ori,93.85458333,16.14311111,5.3,STAR B7V
HR 670,62    And,34.82,47.38,5.3,STAR A1V
HR 8048,Zet Mic,315.7417083,-38.6316944,5.3,STAR F3V
HR 1757,7Nu  Lep,79.99620833,-12.3156111,5.3,STAR B7IV
HR 5548,12    Lib,223.5837916,-24.6421944,5.3,STAR K2III
HR 7624,The2Sgr,299.9637083,-34.6978055,5.3,STAR A4IV
HR 4558,,178.6770833,-25.7138888,5.3,STAR G4III
HR 2820,1    CMi,111.2425,11.66969444,5.3,STAR A5IV
HR 8087,25Chi Cap,317.14,-21.1936111,5.3,STAR A0V
HR 2595,,103.945,-22.9413888,5.3,STAR B3II
HR 1658,106    Tau,76.95170833,20.41830556,5.3,STAR A5V
HR 4504,3    Dra,175.6182916,66.745,5.3,STAR K3III
HR 3008,11    CMi,116.5675,10.76830556,5.3,STAR A1V
HR 1511,4    Cam,72.00129167,56.75719444,5.3,STAR A3
HR 8410,32    Aqr,331.1975,-0.90669444,5.3,STAR A5
HR 9039,82    Peg,358.1545833,10.9475,5.3,STAR A4V
HR 782,33    Ari,40.17120833,27.06080556,5.3,STAR A3V
HR 758,,39.26041667,34.26388889,5.3,STAR M4III
HR 8032,33    Vul,314.5682916,22.32580556,5.31,STAR K3III
HR 1469,,69.30708333,-0.99830556,5.31,STAR B7V
HR 1516,Lam Pic,70.69329167,-50.4813888,5.31,STAR K0III
HR 7612,Mu 2Pav,300.4682916,-66.9441944,5.31,STAR K2IV
HR 3170,,121.0675,-32.675,5.31,STAR M1I
HR 4830,,190.7095833,-63.0586111,5.31,STAR B1III
HR 514,Eps Scl,26.41170833,-25.0525,5.31,STAR F1V
HR 2168,19    Lep,91.92329167,-19.1658055,5.31,STAR M2III
HR 1069,36    Per,53.10958333,46.05688889,5.31,STAR F4III
HR 7794,,305.7945833,5.34311111,5.31,STAR G8III
HR 2008,,86.61420833,-46.5971944,5.31,STAR K0II
HR 6516,,262.5992083,-1.0625,5.31,STAR G9IV
HR 3500,14    Hya,132.3404166,-3.44311111,5.31,STAR B9
HR 2983,76    Gem,116.0287083,25.78419444,5.31,STAR K4III
HR 5523,7Mu  Lib,222.3295833,-14.1488888,5.31,STAR A1
HR 2727,,108.0657916,-40.4988888,5.31,STAR A3
HR 1677,Bet Men,75.67920833,-71.3143888,5.31,STAR G8III
HR 5048,,201.3079166,-64.4853055,5.31,STAR F2III
HR 1935,Nu 2Col,84.43579167,-28.6893888,5.31,STAR F4V
HR 4422,57    UMa,172.2675,39.33688889,5.31,STAR A2V
HR 267,22Phi3Cet,14.00629167,-11.2666944,5.31,STAR K4III
HR 8975,Mu  Scl,355.1592083,-32.0731111,5.31,STAR K1III
HR 8215,70    Cyg,321.8392083,37.11669444,5.31,STAR B3V
HR 4652,,183.5107916,-45.7238888,5.31,STAR K3III
HR 645,,33.40120833,51.06580556,5.31,STAR G8III
HR 778,Eta Hor,39.35170833,-52.5431111,5.31,STAR A6V
HR 8216,,321.715,48.835,5.31,STAR A6
HR 3991,,152.5245833,-12.8161111,5.31,STAR F5V
HR 3182,,123.2032916,68.47419444,5.32,STAR G7II
HR 6279,53    Her,253.2420833,31.70169444,5.32,STAR F0V
HR 4365,73    Leo,168.9662083,13.3075,5.32,STAR K3III
HR 7703,,302.7995833,-36.1011111,5.32,STAR K3V
HR 8940,71    Peg,353.3670833,22.49888889,5.32,STAR M5III
HR 8887,64    Peg,350.4787916,31.8125,5.32,STAR B6III
HR 8480,41    Aqr,333.575,-21.0741944,5.32,STAR K0III
HR 8531,,336.235,-57.7971944,5.32,STAR G3IV
HR 4712,,185.8975,-35.4128055,5.32,STAR B9III
HR 5558,,223.9362083,-33.8558055,5.32,STAR A0V
HR 7753,24    Vul,304.1962916,24.67111111,5.32,STAR G8III
HR 4528,4    Vir,176.9787083,8.24580556,5.32,STAR A1
HR 917,9Rho2Eri,45.67629167,-7.68530556,5.32,STAR K0II
HR 3652,36    Lyn,138.4507916,43.21780556,5.32,STAR B8III
HR 3900,22    Leo,147.9707916,24.39530556,5.32,STAR A5IV
HR 5390,,216.2025,-24.8063888,5.32,STAR G8III
HR 2498,,101.4970833,-14.7961111,5.32,STAR A2V
HR 2165,36    Cam,93.21291667,65.71830556,5.32,STAR K1III
HR 4908,,193.9875,-56.8361111,5.32,STAR O9I
HR 3863,,145.1770833,-57.9836111,5.32,STAR A3IV
HR 4928,9    Dra,194.9795833,66.59719444,5.32,STAR K2III
HR 3694,,139.2382916,-39.4013888,5.33,STAR K5III
HR 1253,40    Tau,60.93579167,5.43561111,5.33,STAR B3V
HR 6142,,247.9237916,-41.8168888,5.33,STAR B1I
HR 2520,14    Lyn,103.2712083,59.44861111,5.33,STAR G4III
HR 4496,61    UMa,175.2625,34.20169444,5.33,STAR G8V
HR 1562,5    Ori,73.345,2.50811111,5.33,STAR M1III
HR 5843,20Chi Ser,235.4475,12.8475,5.33,STAR A0
HR 5013,,199.315,13.67561111,5.33,STAR K3III
HR 2229,73    Ori,93.9375,12.55111111,5.33,STAR B9II
HR 7221,,287.4695833,-68.4246944,5.33,STAR G8III
HR 5675,3    Ser,228.7975,4.93938889,5.33,STAR K0III
HR 3358,,127.2695833,-47.9291944,5.33,STAR B2IV
HR 3551,,133.4612083,-47.5208055,5.33,STAR A9IV
HR 6819,,274.2812083,-56.0233055,5.33,STAR B3III
HR 6083,,245.6167083,-49.5721944,5.33,STAR B6IV
HR 4995,55    Vir,198.5454166,-19.9308055,5.33,STAR G6V
HR 8804,4    And,346.9137916,46.38719444,5.33,STAR K5III
HR 855,20    Per,43.4275,38.3375,5.33,STAR F4IV
HR 3366,33Eta Cnc,128.1770833,20.44111111,5.33,STAR K3III
HR 4086,,155.8720833,-38.01,5.33,STAR A8V
HR 7552,,297.9607916,-39.8743888,5.33,STAR A0
HR 6393,37    Oph,258.1157916,10.58530556,5.33,STAR M2III
HR 1571,,73.69920833,7.77919444,5.33,STAR
HR 3043,,117.2570833,-24.9121944,5.33,STAR G0III
HR 175,32    And,10.28,39.45861111,5.33,STAR G8III
HR 2825,,111.1670833,-16.2011111,5.33,STAR B2IV
HR 2896,,113.7862083,30.96111111,5.33,STAR K0III
HR 8475,,333.1992083,34.60469444,5.33,STAR K2III
HR 6724,7    Sgr,270.7129166,-24.2821944,5.34,STAR F3III
HR 310,74Psi1Psc,16.42041667,21.47330556,5.34,STAR A1V
HR 4227,53    Leo,162.3142083,10.54530556,5.34,STAR A2V
HR 8196,,322.1870833,-69.5053055,5.34,STAR M5III
HR 5540,,224.4704166,-76.6628055,5.34,STAR K4III
HR 1664,14    Ori,76.97041667,8.49830556,5.34,STAR A0
HR 513,,26.49708333,-5.73330556,5.34,STAR K4III
HR 4219,,161.5687916,-64.515,5.34,STAR B6V
HR 7279,20    Aql,288.1695833,-7.93938889,5.34,STAR B3V
HR 1364,,64.81920833,-44.2681111,5.34,STAR K2III
HR 6936,,277.77,-32.9891944,5.34,STAR A3
HR 3669,82Pi 2Cnc,138.8075,14.94138889,5.34,STAR K1III
HR 1746,21    Ori,79.79670833,2.59580556,5.34,STAR F5II
HR 6870,,275.7212916,-36.6693888,5.34,STAR A0
HR 4049,,154.5317083,-28.9918888,5.34,STAR A0I
HR 8496,42    Aqr,334.2004166,-12.8313888,5.34,STAR
HR 1868,,83.38079167,-1.15611111,5.34,STAR B1V
HR 4620,,182.0612083,-48.6928055,5.34,STAR B9V
HR 1917,,83.24829167,-64.2275,5.34,STAR G8III
HR 8980,103    Aqr,355.3937083,-18.0271944,5.34,STAR K5III
HR 3807,,143.0804166,-40.6493888,5.35,STAR G8III
HR 3866,16Psi Leo,145.9329166,14.02169444,5.35,STAR M2III
HR 3114,,119.2412083,-43.5003055,5.35,STAR B2V
HR 6131,,247.4262916,-46.2433055,5.35,STAR B1I
HR 739,75    Cet,38.03920833,-1.035,5.35,STAR
HR 8479,,333.0079166,60.75938889,5.35,STAR K1III
HR 2729,,108.5832916,3.11138889,5.35,STAR K2II
HR 714,Lam Hor,36.22458333,-60.3118888,5.35,STAR F2III
HR 2834,,111.1825,-31.8088888,5.35,STAR G8II
HR 6459,43    Oph,260.84,-28.1431111,5.35,STAR K5III
HR 1153,29    Tau,56.41829167,6.05,5.35,STAR B3V
HR 3357,31The Cnc,127.8987916,18.09438889,5.35,STAR K5III
HR 7987,,313.4175,-39.81,5.35,STAR K2III
HR 594,Pi  For,30.31129167,-30.0016944,5.35,STAR G5III
HR 3537,,132.645,-66.7931111,5.35,STAR F5IV
HR 6293,54    Her,253.8425,18.43330556,5.35,STAR K4III
HR 7124,50    Dra,281.5925,75.43388889,5.35,STAR A1V
HR 8663,Xi  Oct,342.5954166,-80.1241944,5.35,STAR B6IV
HR 2201,40    Cam,93.91920833,59.99919444,5.35,STAR K3III
HR 7510,Nu  Tel,297.005,-56.3625,5.35,STAR A7III
HR 4604,,181.1612916,-68.3291944,5.35,STAR A0IV
HR 750,15    Tri,38.945,34.6875,5.35,STAR M3III
HR 1466,2    Cam,69.99208333,53.47311111,5.35,STAR A8V
HR 1861,,83.17208333,-1.59188889,5.35,STAR B1IV
HR 5710,6    Ser,230.2582916,-0.71530556,5.35,STAR K3III
HR 7444,,293.6717083,42.41280556,5.35,STAR A2V
HR 3086,85    Gem,118.9162916,19.88388889,5.35,STAR A0V
HR 2031,55    Ori,87.84170833,-7.51811111,5.35,STAR B2IV
HR 4024,23    LMi,154.06,29.31061111,5.35,STAR A0V
HR 4760,74    UMa,187.4887916,58.40580556,5.35,STAR A5
HR 2477,13    Lyn,101.7062916,57.16919444,5.35,STAR K0III
HR 1339,53    Tau,64.85870833,21.14219444,5.35,STAR B9IV
HR 7122,,284.0704166,-42.7106111,5.36,STAR K0III
HR 4483,1Ome Vir,174.615,8.13419444,5.36,STAR M4III
HR 5159,84    Vir,205.7654166,3.53811111,5.36,STAR K2III
HR 3212,,122.8875,-7.7725,5.36,STAR G6III
HR 167,55    Psc,9.98170833,21.43830556,5.36,STAR K0III
HR 2267,,94.71079167,-9.39030556,5.36,STAR K1III
HR 2143,40    Aur,91.64620833,38.48280556,5.36,STAR A4
HR 4350,,168.1379166,-49.1011111,5.36,STAR A3IV
HR 2756,,108.8375,-30.6863888,5.36,STAR B3V
HR 3795,Iot Cha,141.0379166,-80.7868888,5.36,STAR F3IV
HR 1257,,61.04120833,2.82688889,5.36,STAR F6IV
HR 2264,45    Aur,95.44208333,53.45219444,5.36,STAR F5III
HR 6983,,278.4862083,52.35361111,5.36,STAR K0III
HR 7609,10    Sge,299.0054166,16.63469444,5.36,STAR G5I
HR 5482,,221.3220833,-62.8758055,5.36,STAR A9V
HR 299,,15.705,-46.3975,5.36,STAR G8III
HR 1872,38    Ori,83.56958333,3.76688889,5.36,STAR A2V
HR 2849,22    Lyn,112.4832916,49.6725,5.36,STAR F6V
HR 2152,37    Cam,92.49620833,58.93580556,5.36,STAR G8III
HR 3951,20    LMi,150.2529166,31.92361111,5.36,STAR G3V
HR 7689,27    Cyg,301.5907916,35.9725,5.36,STAR K0IV
HR 80,41    Psc,5.14958333,8.19030556,5.37,STAR
HR 5413,,217.5870833,-49.5191944,5.37,STAR A1V
HR 7645,13    Sge,300.0137916,17.51669444,5.37,STAR M4III
HR 8444,,332.4820833,-34.0146944,5.37,STAR A5V
HR 8774,Kap Gru,346.165,-53.965,5.37,STAR K5III
HR 3018,,116.3957916,-34.1731111,5.37,STAR G0V
HR 1207,,58.9925,47.87138889,5.37,STAR B6V
HR 8512,46Rho Aqr,335.0495833,-7.82111111,5.37,STAR B8III
HR 7046,28    Sgr,281.5857916,-22.3921944,5.37,STAR K4III
HR 8501,,334.565,-53.6278055,5.37,STAR G3V
HR 1519,,71.50708333,11.70561111,5.37,STAR A2
HR 5718,50    Boo,230.4525,32.93388889,5.37,STAR B9V
HR 6991,,279.8957916,-43.1861111,5.37,STAR M2III
HR 4585,7    Vir,179.9870833,3.65530556,5.37,STAR A1V
HR 5044,63    Vir,200.7545833,-17.7353055,5.37,STAR K0III
HR 1369,59Chi Tau,65.64541667,25.62919444,5.37,STAR B9V
HR 8513,30    Peg,335.115,5.78938889,5.37,STAR B5IV
HR 3769,8    LMi,142.885,35.10311111,5.37,STAR M1III
HR 7054,5Eps2Lyr,281.0954166,39.61280556,5.37,STAR F0V
HR 5932,2    Her,238.6579166,43.13861111,5.37,STAR M3III
HR 6574,82    Her,264.1567083,48.58561111,5.37,STAR
HR 6016,,242.4604166,-3.46688889,5.37,STAR K4III
HR 5719,Ups Lup,231.1870833,-39.7103055,5.37,STAR A0
HR 3422,34    Lyn,130.2545833,45.83388889,5.37,STAR G8IV
HR 1288,,62.32420833,-16.3858055,5.37,STAR B4V
HR 8053,60    Cyg,315.2954166,46.15580556,5.37,STAR B1V
HR 332,Iot Tuc,16.82791667,-61.7753055,5.37,STAR G5III
HR 3301,Kap1Vol,124.9542083,-71.515,5.37,STAR B9III
HR 6001,,242.0317083,-26.3266944,5.38,STAR M2III
HR 5140,,205.5045833,-58.7871944,5.38,STAR B9III
HR 7210,,285.0570833,50.53361111,5.38,STAR B2IV
HR 413,93Rho Psc,21.56370833,19.17219444,5.38,STAR F2V
HR 131,52    Psc,8.14791667,20.29438889,5.38,STAR K0III
HR 5814,41    Lib,234.7270833,-19.3018888,5.38,STAR G8III
HR 3750,,141.945,-6.07111111,5.38,STAR G2V
HR 4687,,184.7079166,75.16061111,5.38,STAR A1V
HR 1649,Eta1Pic,75.7025,-49.1513888,5.38,STAR F2V
HR 7858,3Eta Del,308.4875,13.02719444,5.38,STAR A3IV
HR 5556,,224.0720833,-52.8096944,5.38,STAR A2III
HR 7165,,284.5612083,17.36080556,5.38,STAR F8I
HR 1341,56    Tau,64.90291667,21.77361111,5.38,STAR A0
HR 4153,,158.8037916,-39.5628055,5.38,STAR
HR 211,57    Psc,11.6375,15.47561111,5.38,STAR M4III
HR 581,47    Cas,31.28079167,77.28138889,5.38,STAR F0V
HR 1608,63    Eri,74.96,-10.2633055,5.38,STAR G4V
HR 6455,,260.0407916,25.5375,5.38,STAR A3III
HR 6822,15    Sgr,273.8037083,-20.7283055,5.38,STAR B0I
HR 1249,,60.65291667,-0.26888889,5.38,STAR F5V
HR 7441,9    Cyg,293.7120833,29.46311111,5.38,STAR F8III
HR 1367,,65.1625,-20.6396944,5.38,STAR A2V
HR 2822,,110.8712083,-27.8341944,5.38,STAR K2III
HR 4198,,160.6692083,-59.2158055,5.38,STAR B2I
HR 992,95    Cet,49.59329167,-0.93030556,5.38,STAR G9IV
HR 3183,,121.825,-20.5546944,5.38,STAR A5II
HR 7251,51    Dra,286.23,53.39669444,5.38,STAR A0V
HR 7129,,284.1687916,-37.3433055,5.38,STAR B8IV
HR 1875,121    Tau,83.86291667,24.03938889,5.38,STAR B2IV
HR 2377,Pi 2Dor,96.36920833,-69.6903055,5.38,STAR G8III
HR 2154,,91.66120833,-4.19388889,5.38,STAR B5IV
HR 4400,79    Leo,171.0095833,1.40780556,5.39,STAR G8III
HR 8821,58    Peg,347.5062916,9.82188889,5.39,STAR B9III
HR 6857,,274.7895833,7.25969444,5.39,STAR K2III
HR 6108,21Nu 2CrB,245.6217083,33.70361111,5.39,STAR K5III
HR 6858,,275.0367083,-15.8316944,5.39,STAR K4III
HR 6935,60    Ser,277.4207916,-1.98530556,5.39,STAR K0III
HR 2522,,102.2407916,-15.1446944,5.39,STAR B6V
HR 6407,64Alp2Her,258.6632916,14.39,5.39,STAR G5III
HR 845,Gam2For,42.47579167,-27.9416944,5.39,STAR A0V
HR 6136,,247.1417083,-0.665,5.39,STAR K4III
HR 233,,12.68170833,64.2475,5.39,STAR G0III
HR 7929,51    Cyg,310.5525,50.34,5.39,STAR B2V
HR 3712,,139.3217083,-68.6893888,5.39,STAR F4V
HR 7553,51    Aql,297.695,-10.7636111,5.39,STAR F0V
HR 8016,,311.8892083,80.55219444,5.39,STAR K1III
HR 3532,57    Cnc,133.5612083,30.57938889,5.39,STAR G7III
HR 6377,,257.0082916,35.93530556,5.39,STAR A5III
HR 5906,,238.4742083,-24.5331111,5.39,STAR B6IV
HR 2247,75    Ori,94.2775,9.9425,5.39,STAR A2V
HR 6985,,279.1157916,9.1225,5.39,STAR F5III
HR 1480,,69.77579167,7.87080556,5.39,STAR A5
HR 4453,,173.4054166,-40.5868888,5.39,STAR A2IV
HR 4706,,185.7054166,-57.6761111,5.39,STAR B9V
HR 7701,66    Dra,301.3867083,61.99561111,5.39,STAR K3III
HR 5405,22    Boo,216.6142083,19.22688889,5.39,STAR F0
HR 1335,,65.44829167,60.73561111,5.39,STAR M0III
HR 2815,,110.1612083,-52.0861111,5.39,STAR B9II
HR 2823,,110.8829166,-32.2021944,5.39,STAR B3III
HR 5468,33    Boo,219.7092083,44.40438889,5.39,STAR A1V
HR 2678,,106.6695833,-11.2941944,5.39,STAR B0IV
HR 187,Rho Tuc,10.61829167,-65.4681111,5.39,STAR F6V
HR 6458,72    Her,260.165,32.46780556,5.39,STAR G0V
HR 1430,83    Tau,67.65541667,13.72438889,5.4,STAR F0V
HR 93,12    Cas,6.19791667,61.83111111,5.4,STAR B9III
HR 2063,,88.95541667,20.175,5.4,STAR M6III
HR 1189,,57.1475,-37.6221944,5.4,STAR A1V
HR 6086,,244.3137916,59.755,5.4,STAR M4III
HR 5085,,202.1129166,59.94580556,5.4,STAR A1V
HR 7483,14    Cyg,294.8604166,42.81830556,5.4,STAR B9III
HR 7289,,289.0904166,-45.4663888,5.4,STAR K3III
HR 2357,11Bet Mon,97.20629167,-7.03438889,5.4,STAR B3
HR 6094,,246.0054166,-39.1931111,5.4,STAR G5V
HR 8807,5    Psc,347.1704166,2.12780556,5.4,STAR G8III
HR 2523,,101.72,-51.2658055,5.4,STAR K1II
HR 1507,,71.1075,11.14611111,5.4,STAR F0V
HR 1492,,69.19,-62.0775,5.4,STAR M8III
HR 543,55    And,28.32208333,40.72969444,5.4,STAR
HR 1914,26    Aur,84.65879167,30.4925,5.4,STAR F9III
HR 5863,25    Ser,236.5232916,-1.80438889,5.4,STAR B8III
HR 8463,,332.7912916,50.82330556,5.4,STAR A5V
HR 2602,Iot Vol,102.8625,-70.9633055,5.4,STAR B7IV
HR 5848,44Eta Lib,236.0182916,-15.6728055,5.41,STAR F0IV
HR 34,Kap2Scl,2.89329167,-27.7996944,5.41,STAR K5III
HR 7498,,297.3554166,-72.5033055,5.41,STAR A4III
HR 6882,,275.5362916,23.28530556,5.41,STAR M0III
HR 6411,Iot Aps,260.5245833,-70.1233055,5.41,STAR B9V
HR 5968,15Rho CrB,240.2612083,33.30361111,5.41,STAR G0V
HR 4035,37    Leo,154.1695833,13.72830556,5.41,STAR M1III
HR 1287,44    Tau,62.70791667,26.48080556,5.41,STAR F2IV
HR 3754,2Ome Leo,142.1145833,9.05669444,5.41,STAR F9V
HR 8217,35    Vul,321.9170833,27.60861111,5.41,STAR A1V
HR 4526,,176.8295833,-57.6963888,5.41,STAR K5III
HR 3743,,142.1667083,45.60138889,5.41,STAR K0III
HR 7934,Sig Pav,312.3254166,-68.7763888,5.41,STAR K0III
HR 373,39    Cet,19.15129167,-2.50030556,5.41,STAR G5III
HR 8183,33    Cap,321.04,-20.8518888,5.41,STAR K0III
HR 810,Iot Hor,40.63958333,-50.8003055,5.41,STAR G0V
HR 5450,,219.3337916,-46.1338888,5.41,STAR G8III
HR 3815,11    LMi,143.915,35.81030556,5.41,STAR G8V
HR 6287,,253.73,20.95861111,5.41,STAR G8III
HR 208,23    Cas,11.94208333,74.8475,5.41,STAR B8III
HR 1732,,79.75,33.74830556,5.41,STAR A0
HR 5365,18    Boo,214.8179166,13.00419444,5.41,STAR F5IV
HR 3075,,120.0487916,73.91811111,5.41,STAR K3III
HR 3550,60    Cnc,133.9817083,11.62611111,5.41,STAR
HR 583,57    Cet,29.94208333,-20.8243888,5.41,STAR M1III
HR 4214,,161.7167083,-17.2966944,5.42,STAR A3V
HR 5410,106    Vir,217.1737916,-6.90061111,5.42,STAR K5III
HR 4783,,188.4120833,33.2475,5.42,STAR K0III
HR 196,,11.32170833,55.22169444,5.42,STAR A2V
HR 8386,12Eta PsA,330.2092083,-28.4536111,5.42,STAR B8V
HR 8685,,342.7592083,-39.1568888,5.42,STAR M0III
HR 691,70    Cet,35.55170833,-0.885,5.42,STAR F0V
HR 7209,14    Aql,285.7270833,-3.69888889,5.42,STAR A1V
HR 459,50    Cet,23.99579167,-15.4003055,5.42,STAR K2III
HR 6997,,279.155,33.46888889,5.42,STAR B8II
HR 7531,,297.6867083,-59.1931111,5.42,STAR A0IV
HR 3367,,127.8787916,-19.5775,5.42,STAR A0V
HR 274,68    Psc,14.45920833,28.99219444,5.42,STAR
HR 24,Kap1Scl,2.3375,-27.9878055,5.42,STAR F2V
HR 8110,,318.3220833,-27.6193888,5.42,STAR K5III
HR 2411,,98.45629167,-36.2321944,5.42,STAR K3III
HR 2981,,115.3157916,-38.5336111,5.42,STAR B5V
HR 2877,,112.9517083,17.08611111,5.42,STAR
HR 4356,69    Leo,168.44,-0.06969444,5.42,STAR A0V
HR 6100,,246.1320833,-37.5658055,5.42,STAR B8IV
HR 3082,,121.1962916,79.47969444,5.42,STAR A0
HR 1802,17    Cam,82.5425,63.06719444,5.42,STAR M1III
HR 5907,,238.4825,-23.9781111,5.42,STAR B2V
HR 3678,Zet Oct,134.1712083,-85.6631111,5.42,STAR A8IV
HR 1808,115    Tau,81.79208333,17.96219444,5.42,STAR B5V
HR 408,,21.17,-41.4925,5.42,STAR K0III
HR 7225,15    Aql,286.24,-4.03138889,5.42,STAR K1III
HR 5181,87    Vir,206.8557916,-17.86,5.43,STAR M2III
HR 4313,,166.2257916,-35.8046944,5.43,STAR A2V
HR 7363,49Chi3Sgr,291.3737083,-23.9621944,5.43,STAR K4III
HR 109,,7.11,-39.915,5.43,STAR M0III
HR 7318,2    Vul,289.4317083,23.02561111,5.43,STAR B0IV
HR 5942,,239.645,-24.8313888,5.43,STAR B5IV
HR 8137,30    Cap,319.4887083,-17.9853055,5.43,STAR B8III
HR 164,,9.79129167,49.35438889,5.43,STAR K7III
HR 6033,16    Sco,243.0304166,-8.5475,5.43,STAR A4V
HR 1317,,66.76170833,80.82419444,5.43,STAR
HR 296,25    Cet,15.76079167,-4.83669444,5.43,STAR K0III
HR 9018,6    Cas,357.2092083,62.21438889,5.43,STAR A3I
HR 3621,72Tau Cnc,137.0004166,29.65419444,5.43,STAR G8III
HR 1672,16    Ori,77.33170833,9.82938889,5.43,STAR A2
HR 8478,16Lam PsA,333.5782916,-27.7668888,5.43,STAR B8III
HR 7883,5Iot Del,309.4545833,11.37780556,5.43,STAR A2V
HR 773,32Nu  Ari,39.70420833,21.96138889,5.43,STAR A7V
HR 2819,,110.7525,-31.9238888,5.43,STAR B5III
HR 2381,,97.95870833,-8.15811111,5.43,STAR
HR 3085,,118.2645833,-36.3638888,5.43,STAR K0III
HR 8782,83    Aqr,346.2907916,-7.69361111,5.43,STAR F2IV
HR 800,14    Per,41.02170833,44.29688889,5.43,STAR G0I
HR 8731,,344.2687083,48.68419444,5.43,STAR B4III
HR 607,60    Cet,30.79870833,-0.12830556,5.43,STAR A5III
HR 5784,,234.0504166,-44.3968888,5.43,STAR K4III
HR 2875,,112.2737916,-38.8121944,5.43,STAR B5V
HR 5332,,213.8504166,-18.2008055,5.43,STAR A1V
HR 4863,7    Dra,191.8932916,66.79030556,5.43,STAR
HR 1643,,78.09329167,73.94669444,5.43,STAR B9
HR 7031,,281.2382916,-39.6863888,5.43,STAR K3II
HR 8742,2    Psc,344.8642083,-0.96280556,5.43,STAR
HR 8688,,342.4425,55.90280556,5.43,STAR K1III
HR 8227,7    Cep,321.9420833,66.80919444,5.44,STAR B7V
HR 2480,28    Gem,101.1895833,28.97080556,5.44,STAR K4III
HR 6025,,241.5820833,67.81030556,5.44,STAR A0V
HR 5595,,225.7470833,-32.6433055,5.44,STAR B3V
HR 1290,37    Eri,62.59379167,-6.92388889,5.44,STAR G8III
HR 7146,,283.7175,41.60280556,5.44,STAR K0III
HR 7851,46Ome2Cyg,307.8282916,49.22030556,5.44,STAR M2III
HR 6816,14    Sgr,273.5662916,-21.7131111,5.44,STAR K3III
HR 6507,,262.2070833,-0.33061111,5.44,STAR A8V
HR 5798,,234.7062916,-52.3728055,5.44,STAR A0V
HR 1138,,57.3075,70.87111111,5.44,STAR A2
HR 1527,,73.02170833,63.50530556,5.44,STAR M3III
HR 5924,,238.6442083,20.31080556,5.44,STAR M0III
HR 6055,,244.1795833,-53.8111111,5.44,STAR M2III
HR 8874,11    And,349.8742083,48.62530556,5.44,STAR K0III
HR 4476,,174.3912916,-47.7471944,5.44,STAR K2III
HR 4334,,167.1829166,-28.0806111,5.44,STAR A1V
HR 2684,45    Gem,107.0917083,15.93080556,5.44,STAR G8III
HR 4576,,179.5632916,-56.3171944,5.44,STAR B8III
HR 4748,,187.0937916,-39.0413888,5.44,STAR B8V
HR 4803,,189.4257916,-27.1388888,5.45,STAR F1IV
HR 1340,,63.70291667,-62.1918888,5.45,STAR K0III
HR 4169,,159.3617083,-58.7333055,5.45,STAR A0I
HR 2784,19    Lyn,110.7170833,55.28138889,5.45,STAR B8V
HR 1958,,84.9575,-32.6291944,5.45,STAR G6III
HR 5736,,231.8257916,-36.7678055,5.45,STAR B4V
HR 6725,34Psi2Dra,268.7967083,72.005,5.45,STAR F2II
HR 1172,,57.08708333,23.42111111,5.45,STAR B8V
HR 3066,26    Lyn,118.6779166,47.56469444,5.45,STAR
HR 961,,50.08208333,77.73469444,5.45,STAR A6V
HR 6071,Lam Nor,244.8237083,-42.6738888,5.45,STAR A3V
HR 2796,,110.2425,-14.36,5.45,STAR
HR 1487,,69.83208333,-14.3591944,5.45,STAR K1IV
HR 2572,,103.6025,-1.12688889,5.45,STAR A4IV
HR 2401,,101.5587083,79.56469444,5.45,STAR F8V
HR 5936,12Lam CrB,238.9482916,37.94688889,5.45,STAR F0IV
HR 3784,,142.5217083,-51.5171944,5.45,STAR B8V
HR 6987,,279.1629166,6.67188889,5.45,STAR F3V
HR 3555,59Sig2Cnc,134.2357916,32.91030556,5.45,STAR A7IV
HR 2707,21    Mon,107.8482916,-0.30188889,5.45,STAR A8V
HR 6260,,253.5075,-41.8063888,5.45,STAR B0I
HR 3902,Nu  Cha,146.5857916,-76.7761111,5.45,STAR G8III
HR 270,Lam2Tuc,13.75129167,-69.5268888,5.45,STAR K2III
HR 8003,,313.3275,45.18188889,5.45,STAR K0II
HR 1330,,64.80541667,50.04888889,5.45,STAR A7V
HR 3840,,144.3012916,-53.6686111,5.45,STAR A2V
HR 3595,69Nu  Cnc,135.6845833,24.45280556,5.45,STAR A0
HR 2689,The Men,104.1432916,-79.4203055,5.45,STAR B9V
HR 883,4    Eri,44.34879167,-23.8618888,5.45,STAR A5V
HR 4253,,163.4320833,-2.12919444,5.45,STAR G8III
HR 8267,5    Peg,324.4392083,19.31861111,5.45,STAR F1IV
HR 5176,,206.91,-50.3211111,5.45,STAR K2III
HR 7628,,299.3079166,40.36811111,5.45,STAR B5V
HR 1767,Zet Pic,79.84208333,-50.6061111,5.45,STAR F7III
HR 2708,,107.5807916,-27.4913888,5.46,STAR G8III
HR 1484,93    Tau,70.01420833,12.19780556,5.46,STAR B8IV
HR 6091,,244.9795833,39.70861111,5.46,STAR F3IV
HR 5290,95    Vir,211.6782916,-9.31330556,5.46,STAR F2IV
HR 1140,16    Tau,56.20079167,24.28938889,5.46,STAR B7IV
HR 4127,46    Leo,158.0492083,14.13719444,5.46,STAR M1III
HR 4766,21    Com,187.7525,24.56719444,5.46,STAR A2
HR 4635,3    Crv,182.7662916,-23.6025,5.46,STAR A2V
